year_month,videos_added
2016-10,1
2016-12,5
2017-01,14
2017-02,12
2017-03,11
2017-04,7
2017-06,10
2017-07,11
2017-08,27
2017-09,39
2017-10,45
2017-11,53
2017-12,35
2018-01,4
2018-02,9
2018-03,13
2018-04,9
2018-05,10
2018-06,30
2018-07,6
2018-08,6
2018-09,25
2018-10,19
2018-11,15
2018-12,28
2019-01,24
2019-02,46
2019-03,36
2019-04,23
2019-05,19
2019-06,60
2019-07,33
2019-08,85
2019-09,18
2019-10,23
2019-11,13
2019-12,33
2020-01,22
2020-02,15
2020-03,18
2020-04,31
2020-05,55
2020-06,24
2020-07,18
2020-08,21
2020-09,18
2020-10,57
2020-11,107
2020-12,80
2021-01,15
2021-02,13
2021-03,28
2021-04,12
2021-05,25
2021-06,8
2021-07,16
2021-08,4
2021-09,26
2021-10,22
2021-11,17
2021-12,6
2022-01,18
2022-02,32
2022-03,43
2022-04,33
2022-05,32
2022-06,16
2022-07,20
2022-08,36
2022-09,24
2022-10,25
2022-11,27
2022-12,38
2023-01,16
2023-02,17
2023-03,34
2023-04,18
2023-05,44
2023-06,8
2023-07,27
2023-08,35
2023-09,71
2023-10,72
2023-11,63
2023-12,88
2024-01,91
2024-02,81
2024-03,41
2024-04,56
2024-05,156
2024-06,69
2024-07,45
2024-08,55
2024-09,19
2024-10,49
2024-11,35
2024-12,46
2025-01,41
2025-02,30
2025-03,34
2025-04,59
2025-05,28
2025-06,30
2025-07,12
2025-08,40
2025-09,37
2025-10,65
2025-11,29
2025-12,1
2026-01,7
2026-02,10
2026-03,12
2026-04,6
