year,Barber / Craft,Brazilian Jiu-Jitsu,Business / Marketing,Comedy / Entertainment,Discipline / Mindset,Finance / Wealth,German Language,Health / Fitness,History / Documentary,Leadership / Military,Music,Other,Philosophy / Masculinity,Podcasts,Politics / News,Spiritual / Faith,Tech / AI / Systems
2016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2017,3,0,9,5,37,6,2,24,1,0,15,20,36,2,16,12,3
2018,36,1,6,6,7,5,13,11,1,0,11,8,8,0,7,3,7
2019,24,3,7,6,57,27,2,5,2,0,123,36,21,2,10,11,2
2020,9,50,23,9,65,18,3,10,4,19,46,33,23,5,56,15,8
2021,4,13,2,1,41,3,10,5,1,3,30,14,4,1,17,7,2
2022,19,71,7,0,102,10,16,8,2,2,13,23,2,1,12,9,18
2023,4,319,11,5,26,4,3,13,3,5,9,32,16,5,11,7,4
2024,1,531,4,3,58,1,1,11,2,7,8,50,9,8,15,3,9
2025,1,118,8,4,77,6,1,14,5,2,7,55,11,7,10,6,8
2026,0,6,2,0,4,1,0,1,0,0,3,8,0,0,0,0,8
