year,total_added,active,unavailable,dominant_theme,dominant_theme_count,top_channel,top_channel_count,unique_channels
2016,6,2,4,Other,1,Visit Dubai,1,2
2017,264,191,73,Discipline / Mindset,37,Paul Elam,16,124
2018,174,130,44,Barber / Craft,36,ATHLEAN-X™,8,91
2019,413,338,75,Music,123,Video Advice,8,220
2020,466,396,70,Discipline / Mindset,65,etthehiphoppreacher,23,203
2021,192,158,34,Discipline / Mindset,41,etthehiphoppreacher,14,83
2022,344,315,29,Discipline / Mindset,102,etthehiphoppreacher,63,139
2023,493,477,16,Brazilian Jiu-Jitsu,319,BIG OSS Jiu-Jitsu Channel,43,171
2024,743,721,22,Brazilian Jiu-Jitsu,531,BJJ Globetrotters in Action,31,283
2025,406,340,66,Brazilian Jiu-Jitsu,118,etthehiphoppreacher,17,208
2026,35,33,2,Other,8,Jordan Teaches Jiujitsu,3,23
